Italian,English
primi,first courses
villaggio,village
scuse,apologies
fantasma,ghost
trovarlo,find it
potevi,you could
preferisco,I prefer 
scusatemi,excuse me
ispettore,inspector
teoria,theory
chiamami,call me
dovere,duty 
camion,truck
parco,park 
palazzo,building 
privato,private
dovreste,you should
troia,slut
chiede,asks
volessi,I wanted to
purtroppo,Unfortunately 
eccola,here it is
preoccupata,worried
area,area
aspettavo,I was waiting
prenderti,take you
accusa,accusa
crederci,believe it
martin,martin
stelle,stars
direttamente,directly
ie,ie
aiuta,help
esserlo,to be
voler,want
cento,hundred 
fidanzata,fiancée 
andarmene,to leave
seriamente,seriously 
pista,track
terza,third 
desiderio,wish 
preoccupi,you worry
mentendo,lying
ubriaco,drunk 
angelo,angel 
tradurre,translate
luci,lights 
popolo,people 
case,houses
grace,grace
dita,fingers
vince,wins
infermiera,nurse 
altezza,height 
seduta,sitting
minaccia,threat 
età,age 
controlla,check
nazionale,national
genio,genius 
caduto,fallen 
corri,run
cinema,cinema
t,t
passati,past
tetto,roof 
alcuna,any
stella,star 
josh,Josh
media,media
politica,politics 
voci,voices
suono,sound
to,to
copertura,coverage
conosciamo,we know
vissuto,lived 
piaci,you like it
internet,internet
eric,Eric
lettere,letters
occupato,busy 
sposata,married
cancro,cancer
numeri,numbers
diamo,let's give
credimi,believe me 
compagno,company 
merito,merit
società,society 
quand',when
nient',nothing
spada,spade 
vedermi,see me
scendere,DESCEND 
pazienti,patients
kim,Kim
dirgli,tell him
leggi,laws 
cambia,change
facevo,I was doing
pete,pete
sentita,heard
diventata,become
perfettamente,perfectly
ragazzina,little girl
bicchiere,glass 
autobus,bus
dargli,give him
vuoto,empty 
porte,doors
animale,animal
jason,Jason
azienda,agency 
sabato,Saturday 
pollo,chicken
spiaggia,beach 
ordinato,tidy 
rotta,route
dovesse,should
telefonata,phone call
thomas,Thomas
completo,complete
lasciamo,let's leave
entri,come in
liceo,Lyceum 
rosa,rose 
mezza,half
innamorato,in love 
doccia,shower 
guardato,watched
matt,matt
stanca,tired 
arrestato,arrested
esce,he goes out
date,dates
venduto,sold 
gara,competition 
comincia,it begins
orologio,clock 
eravate,you were
fan,fan
erba,grass 
viso,face
bevi,drink
metta,put
fece,he did
ascoltate,listen
distanza,distance
alice,Alice
maledetto,cursed 
chiamarmi,call me
magnifico,magnificent 
universo,universe
esame,examination 
quartiere,quarter 
uccidermi,kill me
andarsene,to leave
sposa,wife 
partito,match 
lascialo,leave it
strade,roads
cappello,hat 
pagina,page 
mostra,show 
giardino,garden 
intendevo,I meant
testimoni,witnesses
nera,black
taglio,cut 
velocemente,quickly 
potente,powerful
killer,killer
potrà,will be able to
muore,he dies
segni,signs
paradiso,paradise 
rabbia,anger 
fuga,leak 
biglietti,tickets
s',yes
toccare,touch 
termine,term
collega,colleague
vittoria,victory
assurdo,absurd 
mr,Mr.
giornale,newspaper 
dimmelo,tell me
insegnante,teacher 
annie,Annie
talento,talent
o',or
spaventato,scared 
naturale,natural
vicina,nearby
coinvolto,involved
immagini,Images 
figo,cool
grossa,big
umana,human
amiche,friends 
girare,spin 
seria,serious
corrente,current
libertà,freedom 
rubare,steal 
venendo,coming
doppio,double 
immagine,image 
certe,certain
conoscerti,to know you
tantissimo,"very, very much "
allarme,alarm
ultime,latest
militare,military
padrone,master 
prenderlo,take it
arrivano,they arrive
azioni,actions
tipi,types
sveglio,I wake 
mr.,Mr.
amor,love
potremo,we will be able to
preparato,prepared
direzione,direction
gratis,free
dito,finger
vendetta,vendetta 
cantare,sing 
distruggere,destroy 
lasciata,left
funzionare,to function
invitato,invited
chuck,chuck
regola,rule
servizi,services
luke,Luke
zero,zero
ruolo,role 
cavalli,horses
c,c
mattino,morning
pazzi,crazy
funerale,funeral
dallo,from
ospiti,guests 
ministro,minister
venti,winds 
ottenuto,obtained
intende,he means
simon,Simon
abbiate,you have
domenica,Sunday 
tette,tits
sig.,Mr.
vorrà,he will want
ted,ted
spia,spy
manda,send
rimani,stay
partner,partner
dritto,straight 
presenza,presence 
eta,age 
abby,abby
succedera,it will happen
son,I am
offerto,offered
atto,act
apprezzo,I appreciate
discutere,discuss 
mentire,lie 
gestire,manage 
chilometri,kilometers
migliaia,thousands
sugli,on the
lasciarmi,leave me
volevano,they wanted
street,street
guardati,look at yourself
domattina,tomorrow morning
lasciatemi,leave me
pensavi,you thought
vacanza,vacation 
nemici,enemies 
medicina,medicine
speriamo,We hope 
sali,salts
tira,pull
scappato,escaped
pur,even though 
informazione,information
lucy,Lucy
sposare,to marry
andarcene,to leave
est,east
accaduto,happened
violenza,violence
articolo,item 
crescere,grow 
suonare,play 
forti,strong
caduta,fall 
calmo,calm
presi,taken
parlarle,talk to her
cugino,cousin 
fossimo,we were
messaggi,messages
famiglie,families 
povera,poor
danni,damage
sentivo,I felt
sospetto,suspicion
guardie,guards
gira,turn
trappola,trap
dirai,you will say
starai,you will stay
attenti,be careful
diventando,becoming
criminale,criminal
lady,lady
giacca,jacket 
unita,united
rossa,red
dormito,slept
scomparso,disappeared
modi,ways
entrate,income
sarete,you will be
commesso,clerk 
pugno,fist 
opinione,opinion
chiamava,he was calling
cresciuto,grown up
mal,bad
interesse,interest
laura,Laura
mettiamo,let's put
bell',beautiful
sig,Mr.
francia,France
ossa,bone 
roma,Rome 
carico,load 
fastidio,nuisance 
lisa,Lisa
premio,award
fermato,stopped
sopravvivere,survive
studenti,students
battuta,joke 
dappertutto,everywhere 
dave,dave
tè,tea
hank,hank
profondo,deep 
arrivi,arrivals
cella,cell
finora,until now 
membro,member
lupo,wolf 
gas,gas
macchine,machines
risposte,answers 
lotta,struggle 
presento,I present
piccole,small
mostri,monsters
moto,motorcycle 
percento,percent
jeff,Jeff
vorra,will want
carl,carl
colpi,shots
amicizia,friendship 
diritti,rights 
pulito,clean 
protezione,protection
disturbo,I disturb 
avranno,they will have
assieme,together
dicevo,I was saying
diretto,direct
pane,bread 
pesante,heavy 
city,city
park,park
aeroporto,airport
gloria,glory
scusarmi,apologize
creduto,believed
risponde,he answers
terapia,therapy
santa,saint
dirci,tell us
disastro,disaster
uova,egg 
tirato,pulled
tenga,hold on
sedere,sit 
veri,true
preparare,to prepare
versione,version
costruire,build 
rete,net 
sean,Sean
potra,will be able to
guardo,I watch 
puzza,stink 
ricco,rich 
ali,wings
sposati,married
gola,throat
fumo,smoke 
crisi,crisis 
dirmelo,tell me
raggiungere,reach 
nervoso,nervous
minimo,minimum
persa,lost
traccia,trace 
inghilterra,England 
albergo,inn 
tornate,come back
incendio,fire
falso,false
dirglielo,tell him
ucciderlo,kill him
polvere,dust 
chicago,Chicago
gioia,joy 
fucile,rifle 
maniera,manner
william,William
sessuale,sexual
orecchie,ears 
privata,private
tentativo,attempt 
weekend,weekend
totale,total
poche,few 
sicuri,safe
sentirmi,feel me
aspettiamo,we wait
svegliati,wake up
parlano,they speak
scherzi,jokes
trucco,trick 
lord,lord
trovate,found
t',t'
dovevamo,we had to
nascondere,HIDE 
aiutarci,help us
succederà,it will happen
rendere,give 
urla,screams
larry,Larry
calda,hot
aspettato,waited
dovessi,I had to
ambulanza,ambulance
superiore,superior 
m,m
dean,dean
volare,fly 
mancato,missed
perdono,forgiveness
errori,errors 
proprietario,owner 
piaccia,like
raccontato,told
ospite,guest 
dovro,I will have to
dovrò,I will have to
dillo,say it
poteri,powers
credito,credit
recente,recent
dovrà,will have to
pizza,pizza
fatemi,let me
amato,loved
kyle,Kyle
telecamere,cameras
quarto,fourth
bravi,good
avessero,had
movimento,movement
regno,kingdom 
volevamo,we wanted
stomaco,stomach 
membri,members
licenziato,fired
preferirei,I would prefer
tirare,Pull 
chiedevo,I was asking
analisi,analyses 
muoversi,to move
merita,deserves
volesse,wanted
promessa,promise
capita,it happens
farvi,make you
credete,you believe
sissignore,yes sir
dannato,damned
phil,phil
baby,baby
bei,beautiful
assicuro,I assure you
abbandonato,abandoned
facilmente,easily
scale,stairs
attorno,around
darò,I will give
smetterla,stop it
corpi,bodies
sospettato,suspected
mettendo,putting
puo',can' 
cinese,Chinese 
verranno,they will come
imbarazzante,embarrassing 
fonte,source
mancano,they are missing
perdendo,losing
studiare,study 
divano,Sofa 
amante,lover
risultato,result 
accuse,accusations
jerry,Jerry
societa,society 
neppure,not even
bloccato,blocked 
avessimo,we had
tornati,returned
scrivania,desk 
complicato,complicated
louis,Louis
pavimento,flooring 
tolto,removed
mila,thousands 
famoso,famous
desideri,desires 
lily,lily
traffico,traffic
avrete,you will have
eccoti,here you are
contare,to count
cia,Hi
prestito,loan 
potreste,you could
solamente,only
chissà,maybe 
sorriso,smile
sentiamo,we hear
lavorava,he worked
ferite,wounds
proiettile,bullet
motore,motor 
specialmente,especially 
posta,post
darle,give her
lontana,far away
file,file
ingresso,entrance 
riuscivo,I could
respira,breathe
mettiti,put yourself on
fido,trustworthy
nate,born
roger,Roger
lasciati,left
piatto,dish 
folle,crazy
proposta,proposal
rapporti,reports
tuttavia,However 
cazzate,bullshit
affascinante,fascinating 
virus,virus
liberta,freedom 
simili,similar
jenny,Jenny
carter,carter
prenderla,take it
bugie,lies 
clark,Clark
prese,taken
sterline,pounds
trovarmi,find me
frattempo,meanwhile
leo,Leo
banda,band
esplosione,explosion
alan,Alan
calcio,soccer 
ricerche,research
lago,lake 
barry,Barry
ascolto,I listen 
teatro,theater 
riusciamo,we can
ladro,thief 
spaventata,scared
compagni,companions 
facciamolo,let's do it
tentato,attempted
sorpreso,surprised
pioggia,rain 
debito,debt
occhiali,eyeglasses 
conoscete,you know
taglia,cut 
gary,Gary
resynch,resynch
pietra,stone 
uccello,bird
sito,site
maiale,pig 
dubito,I doubt
parcheggio,parking 
serviva,was needed
camicia,Shirt 
comportamento,behavior
comodo,comfortable 
montagna,mountain 
respirare,breathe 
uccisi,killed
bianchi,whites
seguendo,following
costruito,built
formaggio,cheese 
kelly,Kelly
sparo,shot
assunto,hired
uscite,exits
sapessi,if you knew
facevi,you did
diretta,live
averne,have some
spazzatura,garbage 
divorzio,divorce
innamorata,in love 
tagliato,cut
maggie,Maggie
possano,may
fatte,made
tazza,cup 
agenzia,agency
volto,face
morgan,Morgan
intervento,intervention 
creda,believe
mucchio,heap
permettere,allow 
salto,jump
team,team
rimasti,remained
puntate,episodes
pensieri,thoughts 
taylor,Taylor
soccorso,rescue
respiro,breath 
giuria,jury
modello,model 
panico,panic
darci,give us
giornali,newspapers
ombra,shadow 
piscina,swimming pool
marina,navy
ricordate,remember
portate,brought
tavola,table
mezz',half
trovarla,find her
carica,load 
salta,jump
pensione,pension 
copia,copy
pilota,pilot
sorveglianza,surveillance
dichiarazione,declaration 
costretto,forced
smetti,stop
neri,blacks
limite,limit
portarlo,bring it
bugia,lie 
mettermi,put me on
elizabeth,Elizabeth
centinaia,hundreds
affitto,rent 
appartiene,belongs
idioti,idiots
evento,event
bugiardo,liar 
governatore,governor
riusciti,successful
venne,came
sé,himself
daro,I will give
dono,gift
amanda,Amanda
moda,fashion
petto,chest 
custodia,custody
dovra,will have to
farne,make it
impressione,impression
strega,witch 
jackson,Jackson
coso,thing
malata,sick
dimostrare,show 
terreno,land
tradito,betrayed
neve,snow
veniva,he was coming
impegnato,engaged 
portando,carrying
interessi,interests
vorrai,you will want
speciali,specials
odia,hate
molly,molly
portarti,to bring you
ragioni,reasons
gelato,ice-cream 
perfino,even
spara,shoot
lentamente,slowly
metterti,put yourself on
vergogna,shame 
adorabile,adorable
iniziamo,let's start
chloe,Chloe
castello,castle 
medici,doctors
pazienza,patience 
organizzato,organized
sonno,sleep 
trovati,found
colleghi,colleagues 
toccato,touched
malapena,barely
nota,Note 
tornando,coming back
conoscerla,get to know her
maschio,male 
ascoltando,listening
mostrato,shown
karen,Karen
festeggiare,celebrate 
indovinare,guess 
liberi,free
attaccato,attacked
togliere,remove 
risolto,solved
sporco,dirty 
pari,even 
passate,past
sentirti,hear you
voti,votes 
passando,passing by
complimenti,Well done 
nathan,Nathan
miracolo,miracle
epoca,era
vicenda,story
divertimento,fun 
meriti,merits
volere,want 
troppe,too many
anticipo,advance 
lezioni,lessons
giocando,playing 
rapina,robbery 
cercavo,I was looking for
parlava,he was speaking
nazione,nation 
band,band
argomento,subject 
sbagli,mistakes
artista,artist
california,California
pillole,pills
facessi,I did
firmato,signed
alba,dawn
telecamera,camera
auguri,congratulations 
stupidi,stupid
fase,phase 
abito,suit 
suicidio,suicide
uguale,the same 
julia,Julia
preoccupa,worries
meravigliosa,wonderful 
ginocchio,knee 
galera,prison
ride,laughs
alberi,trees 
veloci,fast
familiare,familiar
interessato,interested 
feste,parties 
troppi,too many
positivo,positive
muovetevi,move
andiamocene,let's go
diamine,damn
sparire,to disappear
invito,invitation
onesto,honest 
fuggire,run away 
portami,take me
punta,tip
victor,Victor
tenerlo,keep it
università,university
fortunata,lucky
usciamo,let's go out
stara,stay
patrick,Patrick
provarci,try
bosco,woods 
patto,pact
sale,salt
ovest,west 
bestia,beast
presenta,presents
socio,partner
susan,Susan
personalmente,personally
magazzino,warehouse 
b,b
commissione,commission
coloro,those
sullo,on the
coach,coach
bastardi,bastards
vantaggio,advantage 
spese,expenses 
mezzanotte,midnight 
contanti,cash
morale,moral
avvocati,lawyers
caspita,woh 
tim,Tim
fallito,failed 
indossare,wear 
occupo,I'm busy
esperto,expert
pensaci,think about it
onda,wave
rendi,make
preciso,precise
andrebbe,should go
saltato,skipped
fondi,funds
firmare,sign 
totalmente,totally
incubo,nightmare 
babbo,dad 
fattoria,farm 
presenti,present
senatore,senator
conosciuti,known
tasca,pocket
secolo,century 
cima,top
avendo,having
corridoio,hallway 
bersaglio,target
parlarmi,talk to me
vedono,they see
sorelle,sisters
chili,chili
superare,overcome 
esistono,they exist
eccellente,excellent 
originale,original
muoverti,move
stammi,stay with me
sopportare,support 
sparito,disappeared
probabile,probable
lasciala,leave her
credono,they believe
jones,Jones
km,km
n,n
greg,greg
riposo,rest 
indovina,guess 
diverte,it's fun
esterno,exterior
stan,stan
muovere,to move
smith,smith
concerto,concert 
yo,yo
buttato,thrown away
clinica,clinic
champagne,champagne
maestà,Your Majesty
episodi,episodes
sir,sir
troverai,you will find
tecnologia,technology
scappa,run away
firma,signature
americana,American
oliver,Oliver
calmi,calm down
riposare,rest 
furto,theft 
vendita,sale 
togliti,take off
dormi,sleep
criminali,criminals
carcere,prison 
voto,vote 
rock,rock
tyler,Tyler
arthur,Arthur
tomba,tomb 
legame,link 
mostrare,show 
mancanza,lack 
single,single
materiale,material
facesse,did
ln,ln
superato,surpassed
passeggiata,stroll 
impazzire,to go crazy
amen,amen
lasciarlo,leave it
opportunità,opportunity 
causato,caused
lasciarti,leave you
follia,folly 
attività,activity 
dirvi,tell you
messi,Messi
trovarti,find you
divertiti,have fun 
leader,leader
football,football
unità,unit
personali,personal
charlotte,Charlotte
supporto,support 
tratti,traits
medicine,medicine
derek,Derek
giornalista,journalist 
dorme,he sleeps
scala,stairs 
aiutarvi,help you
opportunita,opportunity 
scienza,science
costume,costume
rompere,break 
pò,a little
scendi,come down
episode,episode
sembro,I seem
uccide,kills
rischi,risks
conseguenze,consequences 
passione,passion 
cercate,search
olivia,Olivia
autista,driver 
d,d
essermi,to be me
terry,terry
coscienza,consciousness 
discussione,discussion 
beccato,caught
profilo,profile 
prete,priest 
sinceramente,sincerely 
vorremmo,we would like
elena,Elena
gusto,taste
compiti,assignments 
ross,red
europa,Europe
esca,bait
tunnel,tunnel
attivita,activity 
season,season
cercano,they are looking for
assicurazione,insurance 
foresta,forest 
robin,robin
ucciderti,kill you
permette,allows 
mappa,map
palco,stage
lieto,happy
confuso,confused
manchi,lack 
filo,row 
ripeto,I repeat
portarla,bring it
howard,Howard
trattato,treaty
certi,certain
gioca,play
figurati,Forget about it 
helen,Helen
fabbrica,factory 
federale,federal
cieco,blind 
responsabilità,responsibility 
messico,Mexico
lancio,launch
titolo,title 
motivi,reasons 
assegno,check 
tornerà,he will return
tizi,guys
belli,beautiful
van,van
grazia,grace
red,red
dicessi,I said
conosceva,he knew
sufficiente,sufficient 
oscar,Oscar
farete,you will do
calci,kicks
egli,they 
istante,instant
pene,penis
amare,love 
lasciar,to leave
sorta,sort
sincero,sincere
ammettere,to admit
retta,straight line
veda,see
pulire,clean 
uscendo,going out
tempesta,storm 
penny,penny
chiamiamo,we call
vice,deputy
rebecca,Rebecca
trovano,they find
difficili,difficult
crediamo,we believe
jeremy,Jeremy
maschera,mask 
visione,vision
cominciamo,let's begin
nata,born 
jo,I
reazione,reaction
cattivi,bad guys
dormendo,sleeping
eccomi,Here I am 
regali,gifts 
sapesse,knew
oggetto,object 
jay,jay
vivono,they live
esco,I go out 
jordan,Jordan
west,west
sport,sports
vederci,see us
sfortunatamente,unfortunately 
contatti,contacts
prendono,they take
sezione,section
my,my
onestamente,honestly 
segreta,secret
ascensore,elevator 
furono,they were
miglia,miles
rifugio,refuge 
casey,Casey
fiero,proud
spalla,shoulder 
all,all
rischiare,take risks
profumo,perfume 
coincidenza,coincidence
portarmi,take me
alcol,alcohol
ricevere,receive 
inventato,invented
impegno,I commit 
brutte,ugly
zucchero,sugar 
chiedermi,ask me
giudizio,judgment 
spari,shots
pochino,a little bit
personaggio,character 
lacrime,tears 
esami,exams
conoscevo,I knew
crimini,crimes
usi,uses
scemo,stupid 
reparto,department
usata,used
pazzesco,crazy
corda,rope
benzina,gas 
dissi,I said
rick,rick
creatura,creature
fumare,smoking
pulita,clean
king,king
vincent,Vincent
raccontare,tell 
ambiente,environment
beth,Beth
fidi,trusts
capite,you understand
canzoni,songs
quant',how much
garage,garage
spiegazione,explanation 
disposto,willing
lascero,I will leave
andrew,andrew
proviamo,let's try 
sara',will be' 
confine,confine 
propri,own
significato,meaning 
letteralmente,literally 
oggetti,objects 
ione,ion
televisione,television 
frankie,Frankie
baseball,baseball
sociale,social
professor,professor
struttura,structure 
accusato,accused
prendero,I will take
disgustoso,disgusting
specchio,mirror 
venerdi,Friday 
butta,throw
perdonami,Excuse me 
dosso,back
cambiamento,change 
svegliato,woke up
proprieta,property 
venisse,came
reputazione,reputation
partenza,departure 
hannah,Hannah
punizione,punishment 
conviene,it's convenient
